contract_address,TX1 Trace Length,TX1 SSTORE Count,TX1 CALL Count,TX2 Trace Length,TX2 SSTORE Count,TX2 CALL Count,TX3 Trace Length,TX3 SSTORE Count,TX3 CALL Count,TX1 Original Trace Length,TX1 Original SSTORE Count,TX1 Original CALL Count,TX2 Original Trace Length,TX2 Original SSTORE Count,TX2 Original CALL Count,TX3 Original Trace Length,TX3 Original SSTORE Count,TX3 Original CALL Count,Tx1 Trace Diff ( original - patched),Tx2 Trace Diff,Tx3 Trace Diff,Tx1 SSTORE Diff,Tx2 SSTORE Diff,Tx3 SSTORE Diff,Tx1 Call Diff,Tx2 Call Diff,Tx3 Call Diff
0xAeC85E8E6Ccd1aF23cCC9046c116eeb190F4A970,868,1,0,867,2,3,855,0,0,869,2,2,867,2,3,855,0,0,1,0,0,1,0,0,2,0,0
0x2b67D1a87A8D8B280A23e97bC55095215eE0ec53,150,2,0,148,4,2,118,0,1,151,4,2,148,4,2,118,0,1,1,0,0,2,0,0,2,0,0
0x241e82C79452F51fbfc89Fac6d912e021dB1a3B7,106,1,2,106,2,3,60,0,0,116,2,2,106,2,3,60,0,0,10,0,0,1,0,0,0,0,0
0xE574DdD69079A87222f282AA40f2d3B05303e93B,75,1,2,81,3,3,81,0,0,85,3,2,81,3,3,81,0,0,10,0,0,2,0,0,0,0,0
0x25f2F80D9a45B641bEf25342A1B2a0Ae48F78539,214,1,1,215,3,2,215,0,0,218,3,2,215,3,2,215,0,0,4,0,0,2,0,0,1,0,0
0x07E409EC7A809a660A9dEd0d40d5b73BBE464B54,1021,1,2,1024,3,2,775,0,0,1028,3,2,1024,3,2,775,0,0,7,0,0,2,0,0,0,0,0
0x3080C40b20C730aD997e1382EEBe3127C1F09C2F,80,1,2,86,3,3,79,0,1,90,3,2,86,3,3,79,0,1,10,0,0,2,0,0,0,0,0
0x2A8e1E676Ec238d8A992307B495b45B3fEAa5e86,121,1,0,123,3,2,122,0,0,125,3,2,123,3,2,122,0,0,4,0,0,2,0,0,2,0,0
0x6C8d0AFDDBD29a0954feEB73904923fC8f73C480,624,1,1,631,2,3,540,0,0,634,2,2,631,2,3,540,0,0,10,0,0,1,0,0,1,0,0
0x495a338D18f10Fb71cBF9Bf3281BFb2A1425dFD1,114,1,0,106,3,2,60,0,0,116,3,2,106,3,2,60,0,0,2,0,0,2,0,0,2,0,0
0x9d5dc3cc15E5618434A2737DBF76158C59CA1e65,63,2,2,61,3,2,57,0,0,66,3,2,61,3,2,57,0,0,3,0,0,1,0,0,0,0,0
0xCD965f4D4E3Ba7EF1b3e46f17D8eA3bdE3B2C5F4,237,1,2,241,3,2,241,0,1,245,3,2,241,3,2,241,0,1,8,0,0,2,0,0,0,0,0
0x914792F492f8C7f147E6b5Bc10e01beE027C093b,239,2,2,241,4,3,241,0,0,245,4,2,241,4,3,241,0,0,6,0,0,2,0,0,0,0,0
0x4fE864eab615E6F84Cba0DEaEE90cfe78b43e990,325,2,2,331,3,2,110,0,0,334,3,2,331,3,2,110,0,0,9,0,0,1,0,0,0,0,0
0xC1349A9a33A0682804c390a3968e26E5a2366153,239,1,2,241,3,2,241,0,0,245,3,2,241,3,2,241,0,0,6,0,0,2,0,0,0,0,0
0x2afFCD7650c2c116EDB6907725DAB53A259285c7,244,2,2,241,4,3,241,0,0,245,4,2,241,4,3,241,0,0,1,0,0,2,0,0,0,0,0
0x57805e5a227937BAc2B0FdaCaA30413ddac6B8E1,199,1,1,199,2,2,188,0,0,203,2,2,199,2,2,188,0,0,4,0,0,1,0,0,1,0,0
0x375C48a3A3685d7e28EB45e612da6Dd51c7E38E0,65,2,2,68,4,2,62,0,0,71,4,2,68,4,2,62,0,0,6,0,0,2,0,0,0,0,0
0x60eB332Bd4A0E2a9eEB3212cFdD6Ef03Ce4CB3b5,74,2,2,75,3,3,75,0,1,79,3,2,75,3,3,75,0,1,5,0,0,1,0,0,0,0,0
0xbE47B65F62F9C18C33eA4823B520aE3Df941Be5a,49,1,0,57,2,3,57,0,0,59,2,2,57,2,3,57,0,0,10,0,0,1,0,0,2,0,0
0x6A2E6510B2BBF8C9AD7bC817D0Dc711711E8d747,569,3,2,569,4,2,203,0,0,572,4,2,569,4,2,203,0,0,3,0,0,1,0,0,0,0,0
